z,n,a,symbol,training_measurement_fm,training_measurement_unc_fm,nuclr_prediction_fm,nuclr_seed_std_fm,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_fm,interval68_lower_fm,interval68_upper_fm,interval95_half_width_fm,interval95_lower_fm,interval95_upper_fm,external_measurement_fm,external_measurement_unc_fm,external_source_key,external_source_doi,training_status
15,28,43,P,,,3.278101,0.004278088,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0385275496,3.23957345,3.31662855,0.08500691441,3.193094086,3.363107914,,,,,
15,29,44,P,,,3.2903125,0.0056492607,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03692865559,3.253383844,3.327241156,0.07960139901,3.210711101,3.369913899,,,,,
15,30,45,P,,,3.3139892,0.0060464316,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03279556437,3.281193636,3.346784764,0.06952318717,3.244466013,3.383512387,,,,,
15,31,46,P,,,3.3064563,0.0058243005,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03020055931,3.276255741,3.336656859,0.06442231903,3.242033981,3.370878619,,,,,
16,11,27,S,,,3.253818,0.008967388,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01243462013,3.24138338,3.26625262,0.02701463827,3.226803362,3.280832638,,,,,
16,12,28,S,,,3.2412872,0.0049620876,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0143598927,3.226927307,3.255647093,0.03068567189,3.210601528,3.271972872,,,,,
16,13,29,S,,,3.2061222,0.004576247,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01052684962,3.19559535,3.21664905,0.0229505015,3.183171698,3.229072702,,,,,
16,14,30,S,,,3.2055326,0.003773133,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01264547591,3.192887124,3.218178076,0.02634812874,3.179184471,3.231880729,,,,,
16,15,31,S,,,3.2207522,0.0028497807,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01645625374,3.204295946,3.237208454,0.03510586048,3.18564634,3.25585806,,,,,
16,16,32,S,3.2611,0.0018,3.249778,0.0016055026,4,measured_target_oof_4_models,heldout_test_aggregate,0.01841371762,3.231364282,3.268191718,0.03779514859,3.211982851,3.287573149,,,,,
16,17,33,S,,,3.258263,0.002033338,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01665457426,3.241608426,3.274917574,0.03497018846,3.223292812,3.293233188,,,,,
16,18,34,S,3.2847,0.0021,3.2830317,0.0010712185,4,measured_target_oof_4_models,heldout_test_aggregate,0.01893841152,3.264093288,3.301970112,0.03914194285,3.243889757,3.322173643,,,,,
16,19,35,S,,,3.2863147,0.0029957902,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0152292831,3.271085417,3.301543983,0.03257705151,3.253737648,3.318891752,,,,,
16,20,36,S,3.2985,0.0024,3.319621,0.0006815181,4,measured_target_oof_4_models,heldout_test_aggregate,0.01081140827,3.308809592,3.330432408,0.02252315769,3.297097842,3.342144158,,,,,
16,21,37,S,,,3.306951,0.0028844106,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01368132074,3.293269679,3.320632321,0.02882973972,3.27812126,3.33578074,,,,,
16,22,38,S,,,3.3145497,0.0023307404,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01482346346,3.299726237,3.329373163,0.03069667878,3.283853021,3.345246379,,,,,
