z,n,a,symbol,ground_state_spin,ground_state_parity,training_measurement_e2_b2,training_measurement_unc_e2_b2,nuclr_prediction_e2_b2,nuclr_seed_std_e2_b2,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_e2_b2,interval68_lower_e2_b2,interval68_upper_e2_b2,interval95_half_width_e2_b2,interval95_lower_e2_b2,interval95_upper_e2_b2
28,38,66,Ni,0,1,0.012,0.002,0.011511828,0.0010621499,4,measured_target_oof_4_models,heldout_test_aggregate,0.007064967308,0.004446860692,0.01857679531,0.01664707076,0,0.02815889876
28,40,68,Ni,0,1,0.00522,0.0012,0.011459058,0.0006589943,4,measured_target_oof_4_models,heldout_test_aggregate,0.005569141754,0.005889916246,0.01702819975,0.01420130879,0,0.02566036679
28,42,70,Ni,0,1,0.0172,0.0028,0.013105625,0.00066282065,4,measured_target_oof_4_models,heldout_test_aggregate,0.005033953038,0.008071671962,0.01813957804,0.01291842504,0.0001871999606,0.02602405004
28,44,72,Ni,0,1,,,0.0098343985,0.0019296571,40,unmeasured_target_40_models,extrapolation_model_estimate,0.007267823757,0.002566574743,0.01710222226,0.01760812686,0,0.02744252536
28,46,74,Ni,0,1,0.0128,0.0044,0.004503483,0.00014139105,4,measured_target_oof_4_models,heldout_test_aggregate,0.006538247695,0,0.0110417307,0.01601299644,0,0.02051647944
28,48,76,Ni,0,1,,,0.006162202,0.0018319779,40,unmeasured_target_40_models,extrapolation_model_estimate,0.007210962481,0,0.01337316448,0.01871939561,0,0.02488159761
28,50,78,Ni,0,1,,,0.007127645,0.0022058722,40,unmeasured_target_40_models,extrapolation_model_estimate,0.007219174637,0,0.01434681964,0.01801550684,0,0.02514315184
28,52,80,Ni,0,1,,,0.0024631403,0.0014916565,40,unmeasured_target_40_models,extrapolation_model_estimate,0.007719761099,0,0.0101829014,0.0196381838,0,0.0221013241
30,24,54,Zn,0,1,,,0.039100904,0.0063203406,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01778433713,0.02131656687,0.05688524113,0.04480186471,0,0.08390276871
30,26,56,Zn,0,1,,,0.032447252,0.0049357438,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01609890988,0.01634834212,0.04854616188,0.03824786711,0,0.07069511911
30,28,58,Zn,0,1,,,0.012818046,0.003208644,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0137342198,0,0.0265522658,0.03487068241,0,0.04768872841
30,30,60,Zn,0,1,,,0.015943136,0.002450955,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01092157121,0.005021564792,0.02686470721,0.027178093,0,0.043121229
30,32,62,Zn,0,1,0.02448,0.00118,0.014309572,0.0003313883,4,measured_target_oof_4_models,heldout_test_aggregate,0.01244172416,0.001867847841,0.02675129616,0.03051913829,0,0.04482871029
30,34,64,Zn,0,1,0.02988,0.0008,0.02104719,0.00097287394,4,measured_target_oof_4_models,heldout_test_aggregate,0.008456074267,0.01259111573,0.02950326427,0.02038884291,0.0006583470901,0.04143603291
30,36,66,Zn,0,1,0.0274,0.00066,0.023051664,0.0010762005,4,measured_target_oof_4_models,heldout_test_aggregate,0.009686753895,0.01336491011,0.03273841789,0.0232995315,0,0.0463511955
